Country,Party,PartyName,Dimension,Scale,Mean,SD,N,Vote_Share,Election_Date
69,ACT,1,1,1,18.05263138,1.393384576,19,7.1,2002
69,ACT,1,1,2,18,2.380476236,19,7.1,2002
69,ACT,1,5,1,17.78947449,1.781975985,19,7.1,2002
69,ACT,1,5,2,13.10526276,5.829948902,19,7.1,2002
69,ACT,1,12,1,5.611111164,3.01250124,18,7.1,2002
69,ACT,1,12,2,12.77777767,4.70988369,18,7.1,2002
69,ACT,1,13,1,18.14999962,1.46089375,20,7.1,2002
69,ACT,1,19,1,9.476190567,4.296731949,21,7.1,2002
69,ACT,1,19,2,11.90476227,3.284886122,21,7.1,2002
69,ACT,1,22,1,18.94736862,0.911267996,19,7.1,2002
69,ACT,1,22,2,18.52631569,1.389181256,19,7.1,2002
69,ACT,1,27,1,17.61904716,2.132514715,21,7.1,2002
69,ACT,1,27,2,15.66666698,4.151305199,21,7.1,2002
69,ACT,1,28,1,4.857142925,5.140872478,21,7.1,2002
69,ACT,1,28,2,16.61904716,2.290768147,21,7.1,2002
69,ACT,1,99,1,18,3.543381929,19,7.1,2002
66,ADR,2,1,1,13,5.291502476,3,9.9,2004
66,ADR,2,1,2,14,2.160246849,4,9.9,2004
66,ADR,2,2,1,15.25,3.774917126,4,9.9,2004
66,ADR,2,2,2,12.75,4.787135601,4,9.9,2004
66,ADR,2,5,1,13.5,5.322906494,4,9.9,2004
66,ADR,2,5,2,8.75,4.716990471,4,9.9,2004
66,ADR,2,12,1,9.25,6.396613598,4,9.9,2004
66,ADR,2,12,2,10.5,2.886751413,4,9.9,2004
66,ADR,2,13,1,17.75,0.957427084,4,9.9,2004
66,ADR,2,17,1,11.5,1.914854169,4,9.9,2004
66,ADR,2,17,2,8.75,1.707825184,4,9.9,2004
66,ADR,2,19,1,17.5,2.081665993,4,9.9,2004
66,ADR,2,19,2,16.5,1.290994406,4,9.9,2004
66,ADR,2,22,1,10.25,4.349329472,4,9.9,2004
66,ADR,2,22,2,11.25,3.095695972,4,9.9,2004
66,ADR,2,23,1,17,2.160246849,4,9.9,2004
66,ADR,2,23,2,14.5,3,4,9.9,2004
66,ADR,2,24,1,17.5,1.732050776,4,9.9,2004
66,ADR,2,24,2,14.75,3.095695972,4,9.9,2004
66,ADR,2,99,1,16.66666603,3.055050373,3,9.9,2004
76,AKP,3,1,1,8.214285851,5.328866959,28,34.3,2002
76,AKP,3,1,2,13.22222233,4.893742561,27,34.3,2002
76,AKP,3,2,1,17.14814758,3.655382872,27,34.3,2002
76,AKP,3,2,2,10.44444466,6.435080051,27,34.3,2002
76,AKP,3,4,1,17.3928566,3.059160948,28,34.3,2002
76,AKP,3,4,2,17.6785717,2.735955,28,34.3,2002
76,AKP,3,5,1,15.71428585,4.302084923,28,34.3,2002
76,AKP,3,5,2,8.357142448,5.908025265,28,34.3,2002
76,AKP,3,9,1,11.17241383,4.855548859,29,34.3,2002
76,AKP,3,9,2,13.10344791,4.011989594,29,34.3,2002
76,AKP,3,10,1,4.678571224,3.25523591,28,34.3,2002
76,AKP,3,10,2,17.9642849,2.808481216,28,34.3,2002
76,AKP,3,12,1,6.428571224,4.049952507,28,34.3,2002
76,AKP,3,12,2,15.4285717,2.885834694,28,34.3,2002
76,AKP,3,13,1,14.27586174,3.926981211,29,34.3,2002
76,AKP,3,19,1,10.3684206,4.487148762,19,34.3,2002
76,AKP,3,19,2,9.149999619,4.901933193,20,34.3,2002
76,AKP,3,21,1,6.428571224,4.040797234,28,34.3,2002
76,AKP,3,21,2,12.5714283,4.614217758,28,34.3,2002
76,AKP,3,22,1,13.35714245,4.61249733,28,34.3,2002
76,AKP,3,22,2,13.70370388,4.688897133,27,34.3,2002
76,AKP,3,99,1,15.92592621,4.037572861,27,34.3,2002
56,ADIK,4,1,1,11,1.154700518,4,2.2,2001
56,ADIK,4,1,2,10.5,3.31662488,4,2.2,2001
56,ADIK,4,2,1,10.5,6.608076096,4,2.2,2001
56,ADIK,4,2,2,7.25,4.5,4,2.2,2001
56,ADIK,4,4,1,16.5,1.290994406,4,2.2,2001
56,ADIK,4,4,2,15.5,3.785938978,4,2.2,2001
56,ADIK,4,5,1,13.75,2.217355728,4,2.2,2001
56,ADIK,4,5,2,9,6.244997978,3,2.2,2001
56,ADIK,4,12,1,10.75,1.707825184,4,2.2,2001
56,ADIK,4,12,2,6.75,4.425305843,4,2.2,2001
56,ADIK,4,13,1,15.75,2.217355728,4,2.2,2001
56,ADIK,4,19,1,14,1.414213538,4,2.2,2001
56,ADIK,4,19,2,9.25,4.991659641,4,2.2,2001
56,ADIK,4,21,1,8.5,1.914854169,4,2.2,2001
56,ADIK,4,21,2,7.75,4.031128883,4,2.2,2001
56,ADIK,4,22,1,11.25,4.349329472,4,2.2,2001
56,ADIK,4,22,2,10.25,5.439056396,4,2.2,2001
56,ADIK,4,99,1,16.75,4.272001743,4,2.2,2001
2,APB,5,1,1,8.25,6.652067184,4,5,2003
2,APB,5,1,2,13.25,5.377421856,4,5,2003
2,APB,5,3,1,10.5,5.066227913,4,5,2003
2,APB,5,3,2,12.25,7.588368416,4,5,2003
2,APB,5,4,1,12.25,8.180260658,4,5,2003
2,APB,5,4,2,10.75,8.139410019,4,5,2003
2,APB,5,5,1,14,4.082482815,4,5,2003
2,APB,5,5,2,10.75,5.560275555,4,5,2003
2,APB,5,6,1,2.75,2.872281313,4,5,2003
2,APB,5,6,2,11.5,7.047458172,4,5,2003
2,APB,5,7,1,13.5,7.187952995,4,5,2003
2,APB,5,7,2,13.75,8.015609741,4,5,2003
2,APB,5,8,1,10.75,8.220908165,4,5,2003
2,APB,5,8,2,11.75,8.057087898,4,5,2003
2,APB,5,9,1,8,5.163977623,4,5,2003
2,APB,5,9,2,10.5,6.350852966,4,5,2003
2,APB,5,10,1,11.75,3.5,4,5,2003
2,APB,5,10,2,7.25,4.645786762,4,5,2003
2,APB,5,11,1,14.66666698,4.041451931,3,5,2003
2,APB,5,11,2,13.66666698,8.504900932,3,5,2003
2,APB,5,12,1,7.25,3.862210035,4,5,2003
2,APB,5,12,2,11.25,6.946221828,4,5,2003
2,APB,5,13,1,11,6.055300713,4,5,2003
2,APB,5,32,1,9.666666985,5.686240673,3,5,2003
2,APB,5,32,2,6.25,6.130524635,4,5,2003
2,APB,5,99,1,12.75,6.60176754,4,5,2003
64,Bala,7,1,1,5.590909004,3.126828432,22,2.3,2003
64,Bala,7,1,2,8.173913002,5.982186794,23,2.3,2003
64,Bala,7,2,1,10.94117641,5.201809406,17,2.3,2003
64,Bala,7,2,2,5.6842103,5.077757835,19,2.3,2003
64,Bala,7,5,1,10.86666679,4.155317783,15,2.3,2003
64,Bala,7,5,2,4.705882549,4.524443626,17,2.3,2003
64,Bala,7,10,1,12.60000038,5.275564194,20,2.3,2003
64,Bala,7,10,2,12.25,3.823404312,20,2.3,2003
64,Bala,7,13,1,2.407407522,2.530722857,27,2.3,2003
64,Bala,7,22,1,8.444444656,2.525685072,18,2.3,2003
64,Bala,7,22,2,6.900000095,4.302997589,20,2.3,2003
64,Bala,7,29,1,1.481481433,1.987854838,27,2.3,2003
64,Bala,7,29,2,19.15384674,2.110778093,26,2.3,2003
64,Bala,7,30,1,1.111111164,0.423659265,27,2.3,2003
64,Bala,7,30,2,19.44444466,1.01273942,27,2.3,2003
64,Bala,7,99,1,14.79166698,5.633588314,24,2.3,2003
65,AN,10,1,1,10.06382942,3.466637611,47,12,2001
65,AN,10,1,2,12.86666679,4.181126595,45,12,2001
65,AN,10,2,1,18.27083397,2.101059437,48,12,2001
65,AN,10,2,2,16.58695602,2.769485235,46,12,2001
65,AN,10,5,1,13.48076916,3.189998865,52,12,2001
65,AN,10,5,2,9.119999886,3.78848958,50,12,2001
65,AN,10,12,1,14.88235283,3.927579641,51,12,2001
65,AN,10,12,2,13.97916698,4.417034626,48,12,2001
65,AN,10,13,1,16.94444466,1.509925246,54,12,2001
65,AN,10,17,1,6.843137264,3.60761714,51,12,2001
65,AN,10,17,2,12.97916698,3.970581055,48,12,2001
65,AN,10,19,1,15.71698093,4.293901443,53,12,2001
65,AN,10,19,2,16.94117737,2.69378376,51,12,2001
65,AN,10,22,1,7.807692528,3.930965424,52,12,2001
65,AN,10,22,2,12.64583302,3.692946672,48,12,2001
65,AN,10,23,1,14.72340393,3.512104034,47,12,2001
65,AN,10,23,2,13.13333321,3.923125029,45,12,2001
65,AN,10,24,1,13.53999996,3.517942429,50,12,2001
65,AN,10,24,2,12.67346954,3.312776804,49,12,2001
65,AN,10,99,1,16.80392075,2.986768246,51,12,2001
69,Allc,11,1,1,3.111111164,1.567646742,18,1.3,2002
69,Allc,11,1,2,17.77777863,2.016273737,18,1.3,2002
